'Aggravated',
'Alone',
'Amused',
'Angry',
'Annoyed',
'Anxious',
'Apathetic',
'Ashamed',
'Awake',
'Bewildered',
'Bitchy',
'Bittersweet',
'Blah',
'Blank',
'Blissful',
'Bored',
'Bouncy',
'Calm',
'Cheerful',
'Cold',
'Complacent',
'Confused',
'Content',
'Cranky',
'Crappy',
'Crazy',
'Crushed',
'Curious',
'Cynical',
'Dark',
'Depressed',
'Determined',
'Devious',
'Dirty',
'Disappointed',
'Discontent',
'Ditzy',
'Dorky',
'Drained',
'Drunk',
'Ecstatic',
'Energetic',
'Enraged',
'Enthralled',
'Envious',
'Exanimate',
'Excited',
'Exhausted',
'Flirty',
'Frustrated',
'Full',
'Geeky',
'Giddy',
'Giggly',
'Gloomy',
'Good',
'Grateful',
'Groggy',
'Grumpy',
'Guilty',
'Happy',
'High',
'Hopeful',
'Hot',
'Hungry',
'Hyper',
'Indescribable',
'Indifferent',
'Infuriated',
'Irate',
'Irritated',
'Jealous',
'Jubilant',
'Lazy',
'Lethargic',
'Listless',
'Lonely',
'Loved',
'Mad',
'Melancholy',
'Mellow',
'Mischievous',
'Moody',
'Morose',
'Naughty',
'Nerdy',
'Not Specified',
'Numb',
'Optimistic',
'Peaceful',
'Pessimistic',
'Pissed off',
'Pleased',
'Predatory',
'Quixotic',
'Recumbent',
'Refreshed',
'Rejected',
'Rejuvenated',
'Relaxed',
'Relieved',
'Restless',
'Rushed',
'Sad',
'Satisfied',
'Shocked',
'Sick',
'Silly',
'Sleepy',
'Smart',
'Stressed',
'Surprised',
'Sympathetic',
'Thankful',
'Tired',
'Touched',
'Uncomfortable',
'Weird',